                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93796,                 3.0585,                 1.5828,                 0.3722,                0.53251,                0.21979,                0.13638,                  1.229,                 3.1173,                 2.3926,               0.000254,               0.000254,               0.000254
                      2,                0.93921,                 2.3199,                 1.5419,                 0.3472,                0.60079,                0.35162,                0.20959,                  1.153,                 2.9189,                 2.3924,             0.00050528,             0.00050528,             0.00050528
                      3,                0.91717,                 2.0802,                 1.5158,                0.38137,                 0.5762,                0.36213,                0.21932,                 1.2025,                 2.3544,                 2.1409,             0.00075149,             0.00075149,             0.00075149
