                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74687,                 1.2866,                 1.3722,                 0.5582,                0.68429,                0.62202,                0.41719,                 1.0586,                 1.1011,                 1.9546,             0.00051777,             0.00051777,             0.00051777
                     36,                0.73947,                 1.2911,                 1.3697,                0.54673,                0.72182,                0.65052,                0.43397,                 1.0696,                 1.0463,                 1.9146,             0.00051015,             0.00051015,             0.00051015
                     37,                 0.7504,                 1.2675,                 1.3751,                0.52395,                0.69897,                0.61415,                0.41997,                 1.0574,                 1.1416,                 1.8677,             0.00050254,             0.00050254,             0.00050254
                     38,                0.74216,                 1.2583,                  1.368,                0.49773,                0.64136,                  0.557,                0.37889,                 1.0669,                 1.3776,                 1.8771,             0.00049493,             0.00049493,             0.00049493
                     39,                 0.7192,                 1.2376,                 1.3533,                 0.5167,                0.77298,                0.65587,                0.44366,                 1.0672,                 1.0292,                 1.8848,             0.00048732,             0.00048732,             0.00048732
                     40,                0.73649,                 1.2539,                 1.3708,                0.53821,                0.73627,                0.65032,                  0.429,                 1.0949,                  1.055,                 1.8943,              0.0004797,              0.0004797,              0.0004797
                     41,                0.73502,                 1.2585,                 1.3692,                0.56155,                 0.7238,                0.62836,                 0.4255,                 1.0541,                 1.1161,                 1.8357,             0.00047209,             0.00047209,             0.00047209
                     42,                0.73273,                 1.2324,                 1.3676,                0.51302,                0.77759,                0.63932,                0.43959,                  1.041,                 1.1063,                 1.8194,             0.00046448,             0.00046448,             0.00046448
                     43,                0.74297,                 1.2389,                 1.3754,                0.54659,                0.76488,                 0.6596,                 0.4579,                  1.032,                 1.0034,                 1.8419,             0.00045686,             0.00045686,             0.00045686
                     44,                0.73443,                 1.2115,                 1.3588,                0.53262,                0.75619,                0.64897,                0.45957,                  1.011,                 1.0677,                 1.8286,             0.00044925,             0.00044925,             0.00044925
                     45,                0.71935,                 1.2137,                 1.3509,                0.49525,                0.78601,                0.62722,                0.42724,                 1.0596,                 1.1006,                 1.8982,             0.00044164,             0.00044164,             0.00044164
                     46,                0.74138,                  1.228,                 1.3679,                0.55336,                0.72994,                0.65408,                0.44973,                 1.0525,                 1.0571,                 1.8602,             0.00043402,             0.00043402,             0.00043402
                     47,                0.72323,                  1.206,                 1.3514,                0.52008,                0.75132,                0.62299,                 0.4337,                 1.0303,                 1.1759,                 1.8404,             0.00042641,             0.00042641,             0.00042641
